case,filename,target_id,predicted_id,target_name,predicted_name
H002,H002_1_1_SH_LFC_1.txt.npy,2,2,SH,SH
H002,H002_1_1_SH_LFC_10.txt.npy,2,2,SH,SH
H002,H002_1_1_SH_LFC_2.txt.npy,2,2,SH,SH
H002,H002_1_1_SH_LFC_3.txt.npy,2,2,SH,SH
H002,H002_1_1_SH_LFC_4.txt.npy,2,2,SH,SH
H004,H004_1_1_NS_RFC_1.txt.npy,1,2,NS,SH
H004,H004_1_1_NS_RFC_10.txt.npy,1,2,NS,SH
H004,H004_1_1_NS_RFC_2.txt.npy,1,2,NS,SH
H004,H004_1_1_NS_RFC_3.txt.npy,1,0,NS,MC
H004,H004_1_1_NS_RFC_4.txt.npy,1,2,NS,SH
H009,H009_3_1_NS_NC_1.txt.npy,1,1,NS,NS
H009,H009_3_1_NS_NC_2.txt.npy,1,0,NS,MC
H009,H009_3_1_SH_NC_1.txt.npy,2,2,SH,SH
H009,H009_3_1_SH_NC_10.txt.npy,2,2,SH,SH
H009,H009_3_1_SH_NC_2.txt.npy,2,2,SH,SH
H009,H009_3_1_SH_NC_3.txt.npy,2,2,SH,SH
H009,H009_3_1_SH_NC_4.txt.npy,2,2,SH,SH
H009,H009_3_2_NS_NC_1.txt.npy,1,1,NS,NS
H009,H009_3_2_NS_NC_10.txt.npy,1,0,NS,MC
H009,H009_3_2_NS_NC_2.txt.npy,1,2,NS,SH
H017,H017_1_1_MC_NC_1.txt.npy,0,0,MC,MC
H017,H017_1_1_MC_NC_10.txt.npy,0,0,MC,MC
H017,H017_1_1_MC_NC_2.txt.npy,0,0,MC,MC
H017,H017_1_1_MC_NC_3.txt.npy,0,0,MC,MC
H017,H017_1_1_MC_NC_4.txt.npy,0,0,MC,MC
H017,H017_1_1_NS_NC_1.txt.npy,1,1,NS,NS
H017,H017_1_1_NS_NC_10.txt.npy,1,1,NS,NS
H017,H017_1_1_NS_NC_2.txt.npy,1,1,NS,NS
H017,H017_1_1_NS_NC_3.txt.npy,1,1,NS,NS
H017,H017_1_1_NS_NC_4.txt.npy,1,1,NS,NS
H027,H027_1_1_NS_RPC_1.txt.npy,1,1,NS,NS
H027,H027_1_1_NS_RPC_10.txt.npy,1,1,NS,NS
H027,H027_1_1_NS_RPC_2.txt.npy,1,1,NS,NS
H027,H027_1_1_NS_RPC_3.txt.npy,1,1,NS,NS
H027,H027_1_1_NS_RPC_4.txt.npy,1,1,NS,NS
H027,H027_1_1_SH_NC_1.txt.npy,2,2,SH,SH
H027,H027_1_1_SH_NC_10.txt.npy,2,2,SH,SH
H027,H027_1_1_SH_NC_2.txt.npy,2,2,SH,SH
H027,H027_1_1_SH_NC_3.txt.npy,2,2,SH,SH
H027,H027_1_1_SH_NC_4.txt.npy,2,2,SH,SH
H032,H032_1_1_NS_RPC_1.txt.npy,1,0,NS,MC
H032,H032_1_1_NS_RPC_10.txt.npy,1,1,NS,NS
H032,H032_1_1_NS_RPC_2.txt.npy,1,0,NS,MC
H032,H032_1_1_NS_RPC_3.txt.npy,1,0,NS,MC
H032,H032_1_1_NS_RPC_4.txt.npy,1,0,NS,MC
H032,H032_1_1_SH_RNC_1.txt.npy,2,2,SH,SH
H032,H032_1_1_SH_RNC_10.txt.npy,2,2,SH,SH
H032,H032_1_1_SH_RNC_2.txt.npy,2,2,SH,SH
H032,H032_1_1_SH_RNC_3.txt.npy,2,2,SH,SH
H032,H032_1_1_SH_RNC_4.txt.npy,2,2,SH,SH
H035,H035_1_1_NS_RPC_1.txt.npy,1,1,NS,NS
H035,H035_1_1_NS_RPC_10.txt.npy,1,2,NS,SH
H035,H035_1_1_NS_RPC_2.txt.npy,1,1,NS,NS
H035,H035_1_1_NS_RPC_3.txt.npy,1,1,NS,NS
H035,H035_1_1_NS_RPC_4.txt.npy,1,1,NS,NS
H035,H035_1_1_SH_RPC_1.txt.npy,2,2,SH,SH
H035,H035_1_1_SH_RPC_10.txt.npy,2,2,SH,SH
H035,H035_1_1_SH_RPC_2.txt.npy,2,2,SH,SH
H035,H035_1_1_SH_RPC_3.txt.npy,2,2,SH,SH
H035,H035_1_1_SH_RPC_4.txt.npy,2,2,SH,SH
H040,H040_2_1_MC_NC_1.txt.npy,0,1,MC,NS
H040,H040_2_1_MC_NC_10.txt.npy,0,1,MC,NS
H040,H040_2_1_MC_NC_2.txt.npy,0,1,MC,NS
H040,H040_2_1_MC_NC_3.txt.npy,0,1,MC,NS
H040,H040_2_1_MC_NC_4.txt.npy,0,1,MC,NS
H040,H040_2_1_NS_RPC_1.txt.npy,1,1,NS,NS
H040,H040_2_1_NS_RPC_10.txt.npy,1,1,NS,NS
H040,H040_2_1_NS_RPC_2.txt.npy,1,1,NS,NS
H040,H040_2_1_NS_RPC_3.txt.npy,1,1,NS,NS
H040,H040_2_1_NS_RPC_4.txt.npy,1,1,NS,NS
H045,H045_1_1_NS_LFC_1.txt.npy,1,1,NS,NS
H045,H045_1_1_NS_LFC_10.txt.npy,1,1,NS,NS
H045,H045_1_1_NS_LFC_2.txt.npy,1,1,NS,NS
H045,H045_1_1_NS_LFC_3.txt.npy,1,1,NS,NS
H045,H045_1_1_NS_LFC_4.txt.npy,1,1,NS,NS
H045,H045_1_1_SH_LFC_1.txt.npy,2,2,SH,SH
H045,H045_1_1_SH_LFC_10.txt.npy,2,2,SH,SH
H045,H045_1_1_SH_LFC_2.txt.npy,2,2,SH,SH
